spanish,english
impacto,impact
ambiental,environmental
chile,Chile
zona,zone/area
agua,water
región,region
ecosistema,ecosystem
eólico,wind (energy)
parque,park
territorio,territory
río,river
comunidad,community
central,power plant/central
maipo,Maipo (river)
hidroeléctrico,hydroelectric
derechos,rights
empresa,company
mapuche,Mapuche (indigenous people)
rucalhue,Rucalhue (location)
comité,committee
tribunal,court/tribunal
ministros,ministers
dominga,Dominga (mining project)
competencia,jurisdiction/competition
andes,Andes
decisión,decision
contienda,dispute
rechazar,reject
energía,energy
eléctrico,electric
transición,transition
plan,plan
carbón,coal
sistema,system
energético,energy (adj.)
cielo,sky
lumínico,light (pollution)
inna,INNA (organization)
año,year
paranal,Paranal (observatory)
chileno,Chilean
astronómico,astronomical
trabajar,work
contaminación,contamination/pollution
salud,health
quintero,Quintero (city)
puchuncaví,Puchuncaví (city)
ambiente,environment
aire,air
industrial,industrial
medida,measure
hidrógeno,hydrogen
verde,green
magallanes,Magallanes (region)
desarrollo,development
industria,industry
inversión,investment
producción,production
planta,plant/facility
resolución,resolution
evaluación,assessment/evaluation
sma,SMA (environmental agency)
proceso,process
gobierno,government
ley,law
público,public
caso,case
comisión,commission
asociación,association
contrato,contract
informe,report
usuario,user
mundomaritimo,MundoMaritimo (maritime news)
servicio,service
artículo,article
responsabilidad,responsibility
personal,personnel/staff
tercero,third party
hora,hour
investigación,investigation/research
litio,lithium
salar,salt flat
sqm,SQM (mining company)
atacama,Atacama (desert/region)
codelco,Codelco (mining company)
extracción,extraction
explotación,exploitation/mining
minera,mining (company)
minero,mining (adj.)/miner
cobre,copper
mina,mine
pelambres,Los Pelambres (mine)
calama,Calama (city)
nacional,national
superficie,surface/area
pilmaiquén,Pilmaiquén (river)
osorno,Osorno (city)
construcción,construction
isla,island
riesco,Riesco (island)
estancia,ranch/estate
stipicic,Stipicic (person)
estanciero,rancher
ivanovic,Ivanovic (person)
kilómetro,kilometer
solar,solar
fotovoltaico,photovoltaic
renovable,renewable
generación,generation
megavatio,megawatt
proyecto,project
aprobación,approval
rechazo,rejection
conflicto,conflict
protesta,protest
oposición,opposition
impugnación,challenge/appeal
recurso,resource/appeal
corte,court
suprema,supreme
apelación,appeal
demanda,lawsuit/demand
denuncia,complaint/report
fiscalía,prosecution
sanción,sanction
multa,fine
clausura,closure
suspensión,suspension
autorización,authorization
permiso,permit
licencia,license
concesión,concession
licitación,tender/bid
adjudicación,award
contratación,contracting
operación,operation
funcionamiento,operation/functioning
mantenimiento,maintenance
emergencia,emergency
accidente,accident
derrame,spill
fuga,leak
explosión,explosion
incendio,fire
muerte,death
enfermedad,illness/disease
cáncer,cancer
intoxicación,poisoning
evacuación,evacuation
alerta,alert
declaración,declaration
estado,state
catástrofe,catastrophe
desastre,disaster
sequía,drought
inundación,flood
terremoto,earthquake
tsunami,tsunami
volcán,volcano
erupción,eruption
cambio,change
climático,climate (adj.)
calentamiento,warming
global,global
emisión,emission
carbono,carbon
huella,footprint
reducción,reduction
mitigación,mitigation
adaptación,adaptation
resiliencia,resilience
sustentable,sustainable
sostenible,sustainable
biodiversidad,biodiversity
conservación,conservation
protección,protection
reserva,reserve
santuario,sanctuary
humedal,wetland
bosque,forest
glaciar,glacier
costa,coast
mar,sea
océano,ocean
pesca,fishing
acuicultura,aquaculture
salmón,salmon
ballena,whale
pingüino,penguin
fauna,fauna
flora,flora
especie,species
extinción,extinction
amenaza,threat
peligro,danger
riesgo,risk
vulnerabilidad,vulnerability
consulta,consultation
participación,participation
ciudadano,citizen
vecino,neighbor/resident
habitante,inhabitant
poblador,settler/resident
trabajador,worker
sindicato,union
huelga,strike
negociación,negotiation
acuerdo,agreement
convenio,agreement/convention
tratado,treaty
protocolo,protocol
norma,norm/standard
reglamento,regulation
decreto,decree
ordenanza,ordinance
municipal,municipal
regional,regional
provincial,provincial
local,local
